ID,GameFormat,Overs,Maidens,Runs,Wickets,Economy,BowlingInnings,Opposition,Ground,MatchDate,MatchLink
28081,3,0.0,0,0,0,0.0,1,South Africa,Johannesburg,2006-12-01,https://www.espncricinfo.com/ci/engine/match/255954.html
28081,6,0.0,0,0,0,0.0,1,South Africa,Johannesburg,2006-12-01,https://www.espncricinfo.com/ci/engine/match/255954.html
34102,6,3.0,0,15,3,5.0,1,Baroda,Wankhede,2007-04-03,https://www.espncricinfo.com/ci/engine/match/290527.html
30288,6,0.0,0,0,0,0.0,1,UP,Jaipur,2007-04-03,https://www.espncricinfo.com/ci/engine/match/290520.html
290630,6,0.0,0,0,0,0.0,2,Kerala,Visakhapatnam,2007-04-03,https://www.espncricinfo.com/ci/engine/match/290526.html
277916,6,0.0,0,0,0,0.0,1,Baroda,Wankhede,2007-04-03,https://www.espncricinfo.com/ci/engine/match/290527.html
28081,6,0.0,0,0,0,0.0,1,Odisha,Eden Gardens,2007-04-03,https://www.espncricinfo.com/ci/engine/match/290530.html
26421,6,2.0,0,20,0,10.0,1,Andhra,Visakhapatnam,2007-04-03,https://www.espncricinfo.com/ci/engine/match/290524.html
253802,6,0.0,0,0,0,0.0,2,Himachal,Delhi,2007-04-03,https://www.espncricinfo.com/ci/engine/match/290523.html
236779,6,4.0,0,18,0,4.5,2,Himachal,Delhi,2007-04-03,https://www.espncricinfo.com/ci/engine/match/290523.html
34102,6,1.0,0,8,0,8.0,1,Gujarat,Brabourne,2007-04-04,https://www.espncricinfo.com/ci/engine/match/290539.html
290630,6,0.0,0,0,0,0.0,2,Andhra,Visakhapatnam,2007-04-04,https://www.espncricinfo.com/ci/engine/match/290537.html
277916,6,0.0,0,0,0,0.0,1,Gujarat,Brabourne,2007-04-04,https://www.espncricinfo.com/ci/engine/match/290539.html
28081,6,0.0,0,0,0,0.0,1,Bengal,Eden Gardens,2007-04-04,https://www.espncricinfo.com/ci/engine/match/290542.html
234675,6,2.0,0,20,0,10.0,1,Maharashtra,Brabourne,2007-04-04,https://www.espncricinfo.com/ci/engine/match/290540.html
26421,6,2.0,0,15,0,7.5,1,Goa,Visakhapatnam,2007-04-04,https://www.espncricinfo.com/ci/engine/match/290536.html
253802,6,0.0,0,0,0,0.0,2,J + K,Delhi,2007-04-04,https://www.espncricinfo.com/ci/engine/match/290533.html
236779,6,4.0,0,13,1,3.25,2,J + K,Delhi,2007-04-04,https://www.espncricinfo.com/ci/engine/match/290533.html
34102,6,4.0,0,25,2,6.25,2,Saurashtra,Wankhede,2007-04-05,https://www.espncricinfo.com/ci/engine/match/290551.html
290630,6,0.0,0,0,0,0.0,1,Goa,Visakhapatnam,2007-04-05,https://www.espncricinfo.com/ci/engine/match/290549.html
277916,6,0.0,0,0,0,0.0,2,Saurashtra,Wankhede,2007-04-05,https://www.espncricinfo.com/ci/engine/match/290551.html
28081,6,0.0,0,0,0,0.0,1,Assam,Eden Gardens,2007-04-05,https://www.espncricinfo.com/ci/engine/match/290554.html
234675,6,4.0,0,35,0,8.75,1,Mumbai,Wankhede,2007-04-05,https://www.espncricinfo.com/ci/engine/match/290551.html
26421,6,4.0,0,15,3,3.75,1,Hyderabad,Visakhapatnam,2007-04-05,https://www.espncricinfo.com/ci/engine/match/290550.html
277916,6,0.0,0,0,0,0.0,1,Maharashtra,Brabourne,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290561.html
34102,6,4.0,0,19,0,4.75,1,Maharashtra,Brabourne,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290561.html
30288,6,0.0,0,0,0,0.0,1,Rajasthan,Jaipur,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290558.html
290630,6,0.0,0,0,0,0.0,2,Tamil Nadu,Visakhapatnam,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290557.html
236779,6,4.0,0,20,0,5.0,1,Punjab,Delhi,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290547.html
234675,6,1.0,0,11,0,11.0,1,Baroda,Brabourne,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290560.html
253802,6,0.0,0,0,0,0.0,1,Punjab,Delhi,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290547.html
232292,6,0.0,0,0,0,0.0,2,Saurashtra,Brabourne,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290560.html
26421,6,4.0,0,16,2,4.0,1,Karnataka,Visakhapatnam,2007-04-06,https://www.espncricinfo.com/ci/engine/match/290557.html
290630,6,0.0,0,0,0,0.0,1,Hyderabad,Visakhapatnam,2007-04-07,https://www.espncricinfo.com/ci/engine/match/290568.html
28081,6,0.0,0,0,0,0.0,2,Tripura,Eden Gardens,2007-04-07,https://www.espncricinfo.com/ci/engine/match/290572.html
26421,6,4.0,0,33,1,8.25,1,Kerala,Visakhapatnam,2007-04-07,https://www.espncricinfo.com/ci/engine/match/290569.html
