Name,ID,Team
MS Dhoni,28081,Chennai Super Kings
Srikkanth Anirudha,26798,Chennai Super Kings
S Badrinath,26806,Chennai Super Kings
Faf du Plessis,44828,Chennai Super Kings
Michael Hussey,5939,Chennai Super Kings
Suresh Raina,33335,Chennai Super Kings
Wriddhiman Saha,279810,Chennai Super Kings
Murali Vijay,237095,Chennai Super Kings
Baba Aparajith,477071,Chennai Super Kings
Ravichandran Ashwin,26421,Chennai Super Kings
Dwayne Bravo,51439,Chennai Super Kings
Akila Dananjaya,574178,Chennai Super Kings
Jason Holder,391485,Chennai Super Kings
Ravindra Jadeja,234675,Chennai Super Kings
Albie Morkel,46248,Chennai Super Kings
Chris Morris,439952,Chennai Super Kings
Vijay Shankar,477021,Chennai Super Kings
Ben Hilfenhaus,5941,Chennai Super Kings
Imtiaz Ahmed,340939,Chennai Super Kings
Shadab Jakati,29655,Chennai Super Kings
Nuwan Kulasekara,49535,Chennai Super Kings
Ben Laughlin,315623,Chennai Super Kings
Ronit More,424219,Chennai Super Kings
Dirk Nannes,6981,Chennai Super Kings
Ankit Rajpoot,591650,Chennai Super Kings
Ravi Karthikeyan,624023,Chennai Super Kings
Mohit Sharma,537119,Chennai Super Kings
Mahela Jayawardene,49289,Delhi Daredevils
Gulam Bodi,44089,Delhi Daredevils
Unmukt Chand,446499,Delhi Daredevils
Bharat Chipli,27685,Delhi Daredevils
Chidhambaram Gautam,302208,Delhi Daredevils
Manprit Juneja,390480,Delhi Daredevils
Naman Ojha,32102,Delhi Daredevils
Ben Rohrer,7547,Delhi Daredevils
Virender Sehwag,35263,Delhi Daredevils
Venugopal Rao,35805,Delhi Daredevils
David Warner,219889,Delhi Daredevils
Kevin Pietersen,19296,Delhi Daredevils
Johan Botha,44149,Delhi Daredevils
Kedar Jadhav,290716,Delhi Daredevils
Jeevan Mendis,49700,Delhi Daredevils
Yogesh Nagar,317786,Delhi Daredevils
Irfan Pathan,32685,Delhi Daredevils
Andre Russell,276298,Delhi Daredevils
Roelof van der Merwe,47850,Delhi Daredevils
Jesse Ryder,38373,Delhi Daredevils
Ajit Agarkar,26184,Delhi Daredevils
Siddarth Kaul,326017,Delhi Daredevils
Morne Morkel,46538,Delhi Daredevils
Shahbaz Nadeem,31872,Delhi Daredevils
