Ground_Name,Ground_ID,Home Team,HomeWinLossRatio,HomeAverage,HomeRPO,AwayAverage,AwayRPO,NeutralAverage,NeutralRPO,WonTossBattedWinLossRatio,WonTossBattedAverage,WonTossBattedRPO,WonTossFieldedWinLossRatio,WonTossFieldedAverage,WonTossFieldedRPO,LostTossSentInWinLossRatio,LostTossSentInAverage,LostTossSentInRPO,LostTossFieldedWinLossRatio,LostTossFieldedAverage,LostTossFieldedRPO,FirstInningsWinLossRatio,FirstInningsAverage,FirstInningsRPO,SecondInningsAverage,SecondInningsRPO,DayMatchAverage,DayMatchRPO,DayNightMatchAverage,DayNightMatchRPO,NightMatchAverage,NightMatchRPO
Ahmedabad,57851,GT,1.461,29.93,8.47,22.49,8.05,28.41,9.21,1.5,24.78,8.21,1.0,27.41,8.46,1.0,26.96,8.54,0.666,22.78,7.6,1.166,26.11,8.41,25.56,8.13,22.46,7.5,25.98,8.32,26.53,8.42
Bengaluru,57897,RCB,1.145,28.43,8.89,27.08,8.59,21.69,7.14,0.818,30.09,8.59,1.304,27.19,8.58,0.766,27.58,8.77,1.222,24.56,8.3,0.774,27.94,8.74,26.73,8.53,20.23,8.4,27.35,8.27,27.79,8.82
Eden Gardens,57980,KKR,1.428,26.66,8.25,24.16,8.06,21.56,7.69,0.937,24.0,7.81,1.261,27.35,8.39,0.792,25.05,8.44,1.066,23.9,7.63,0.847,24.64,8.19,25.96,8.09,21.66,7.61,26.09,8.12,26.75,8.4
Mohali,57991,Kings XI,1.23,27.96,8.37,27.05,8.32,23.5,7.72,0.736,27.53,8.34,1.757,28.63,8.36,0.568,25.29,8.29,1.357,29.04,8.17,0.61,25.88,8.3,28.75,8.3,23.49,7.85,27.62,8.36,28.82,8.47
Chennai,58008,CSK,1.454,27.44,7.95,22.93,7.74,22.27,7.04,1.121,26.59,7.88,0.739,24.46,7.84,1.352,25.09,8.17,0.891,23.51,7.56,1.2,26.02,7.98,23.86,7.66,20.05,7.0,29.45,8.24,24.7,7.85
Delhi,58040,DC,1.041,26.06,8.19,24.64,7.97,20.11,6.58,0.939,22.35,7.58,1.268,26.9,8.38,0.788,26.5,8.34,1.064,23.12,7.31,0.847,24.75,8.04,25.34,7.94,21.93,7.37,25.36,7.77,27.18,8.52
Dharamsala,58056,Kings XI,1.0,25.28,8.2,24.62,7.87,19.27,7.74,2.0,26.94,8.08,1.083,21.67,7.87,0.923,27.2,8.23,0.5,18.93,7.33,1.066,27.15,8.2,21.08,7.76,18.64,6.71,21.21,7.79,33.0,9.29
Hyderabad,58142,SRH,1.016,26.41,8.24,25.46,8.12,25.24,7.99,0.615,25.0,7.91,0.972,23.72,8.2,1.027,27.07,8.52,1.625,28.25,7.94,0.813,26.1,8.24,25.61,8.08,23.15,7.82,27.22,8.36,26.1,8.17
Jaipur,58162,RR,1.818,25.92,7.75,22.72,7.54,36.0,9.45,0.548,23.75,7.73,1.333,23.29,7.57,0.75,23.95,7.55,1.823,28.18,8.02,0.666,23.87,7.62,24.99,7.74,20.43,7.07,25.35,7.83,27.93,8.1
Wankhede,58324,MI,1.25,27.2,8.32,25.62,8.23,32.56,10.22,0.758,25.2,7.95,1.38,27.14,8.43,0.724,26.58,8.41,1.318,25.67,7.97,0.732,26.23,8.29,26.77,8.32,25.07,7.86,26.47,8.26,27.22,8.55
Visakhapatnam,58547,Daredevils,0.755,21.23,7.74,24.24,8.08,0.0,0.0,0.812,22.87,7.69,1.0,21.82,7.9,1.0,23.7,8.23,1.23,22.03,7.59,0.926,23.39,8.02,21.89,7.79,22.43,7.81,23.74,8.65,22.81,7.82
Pune,545380,Supergiants,0.71,23.29,7.73,26.31,8.01,0.0,0.0,1.75,28.62,7.54,0.954,23.82,7.97,1.047,26.96,8.42,0.571,19.27,6.86,1.241,27.46,8.12,22.22,7.6,23.19,7.34,24.75,7.17,24.88,8.09
Guwahati,680295,RR,0.777,27.96,7.99,26.3,7.73,0.0,0.0,1.5,22.15,7.31,0.833,27.71,8.06,1.2,32.62,8.3,0.666,21.5,7.03,1.285,28.74,7.99,25.52,7.72,23.42,7.03,26.23,8.52,35.74,9.38
Lucknow,1070094,LSG,1.105,26.1,7.56,21.35,7.27,18.95,6.95,1.333,20.89,7.1,1.0,24.56,7.55,1.0,26.47,8.03,0.75,20.64,6.73,1.15,23.65,7.59,22.59,7.15,24.62,7.14,18.35,6.64,24.32,7.92
