Ground,ID,Home Team
Ahmedabad,57851,GT
Bengaluru,57897,RCB
Bhadravati,57930,Neutral
Eden Gardens,57980,KKR
Jadavpur Uni,57986,Neutral
Mohali,57991,Kings XI
Chandigarh,57993,Neutral
Chennai,58008,CSK
Cuttack,58027,Chargers
Delhi,58040,DC
Dharamsala,58056,Kings XI
Hyderabad,58142,SRH
Indore,58150,Kings XI
Jaipur,58162,RR
Kanpur,58204,Guj Lions
Kochi,58230,Kochi
Brabourne,58317,MI
Wankhede,58324,MI
Surat,58461,Neutral
Vadodara,58516,Neutral
Visakhapatnam,58547,Daredevils
Nadaun,58585,Neutral
Rohtak,269356,Neutral
DY Patil,343050,Warriors
Nagpur,375326,Neutral
Rajkot,377285,Guj Lions
Mumbai,379598,Neutral
Ranchi,485865,CSK
Pune,545380,Supergiants
Shimoga,546331,Neutral
Alur,573809,Neutral
Raipur,601879,Daredevils
Guwahati,680295,RR
Vizianagaram,709715,Neutral
Alur (3),722463,Neutral
Bhubaneswar,806213,Neutral
Greater Noida,942501,Neutral
Alur (2),950015,Neutral
Thumba,1053905,Neutral
Lucknow,1070094,LSG
Thiruvananthapuram,1120086,Neutral
Dehradun,1145946,Neutral
Mulapadu,1152683,Neutral
Kolkata,1169429,Neutral
Sultanpur,1285698,Neutral
Mangalagiri,1287205,Neutral
Mullanpur,1290799,Kings XI
Gwalior,1447330,Neutral
